No;Course Category;Course Title;Course Topics;Content Type;Title;URL
1;Islamic Fundamental;Tazkiatun Nafs;Doa;Video;Part 1 Intro Materi Doa;https://youtu.be/yaz1WRRU06k
2;Islamic Fundamental;Tazkiatun Nafs;Doa;Video;Part 2 Memaknai Doa;https://youtu.be/StXnmZ5HePA
3;Islamic Fundamental;Tazkiatun Nafs;Doa;Video;Part 3 Waktu Mustajab Dikabulkannya Doa;https://youtu.be/51DXpJ50Z9Y
4;Islamic Fundamental;Tazkiatun Nafs;Doa;Video;Part 4 Adab-adab Berdoa;https://youtu.be/oqk8uTO82rY
5;Islamic Fundamental;Tazkiatun Nafs;Doa;Video;Part 5 Manfaat dan Keutamaan Berdoa;https://youtu.be/0JJ-dkExWMY
6;Islamic Fundamental;Tazkiatun Nafs;Dzikrullah;Video;Part 1 Intro Materi Dzikrullah;https://youtu.be/c4jtB4fM_0c
7;Islamic Fundamental;Tazkiatun Nafs;Dzikrullah;Video;Part 2 Wujud Ketaqwaan;https://youtu.be/It4yce5Dis4
8;Islamic Fundamental;Tazkiatun Nafs;Dzikrullah;Video;Part 3 Makna, Keutmaan dan Hakikat Dzikir;https://youtu.be/57mPsAY7krU
9;Islamic Fundamental;Tazkiatun Nafs;Dzikrullah;Video;Part 4 Manfaat dan Cara Dzikrullah;https://youtu.be/tWiuzaJe6So
10;Islamic Fundamental;Tazkiatun Nafs;Mahabbatullah;Video;"Part 1 Intro Materi Mahabbatullah";https://youtu.be/L8_-ZfGR5T8
11;Islamic Fundamental;Tazkiatun Nafs;Mahabbatullah;Video;Part 2 Kenapa Kita Mesti Mencintai Allah?;https://youtu.be/pvtGy49JG18
12;Islamic Fundamental;Tazkiatun Nafs;Mahabbatullah;Video;Part 3 Mencintai Allah adalah Bagian dari Iman;https://youtu.be/CVZt9iM_GQQ
13;Islamic Fundamental;Tazkiatun Nafs;Mahabbatullah;Video;Part 4 Cinta-Nya Allah ada bersama ketaatan;https://youtu.be/J0pAn94yWQ4
14;Islamic Fundamental;Tazkiatun Nafs;Wirid Qurani;Video;Part 1 Intro Materi Wirid Qurani;https://youtu.be/B3K0VDXaaA4
15;Islamic Fundamental;Tazkiatun Nafs;Wirid Qurani;Video;Part 2 Macam Wirid Quran;https://youtu.be/-r-N6wJEo40
